www/activateaccount.php:Cookie set	Cookie install&eacute;
www/activateaccount.php:Bad input parameters	Erreur dans les param&egrave;tres d'entr&eacute;e
www/activateaccount.php:Database access error	Erreur d'acc&egrave;s &agrave; la base de donn&eacute;es
www/activateaccount.php:Account activated	Compte activ&eacute;
www/activateaccount.php:"en"	"fr"
www/activateaccount.php:Activate account	Activer le compte
www/forgotpwd.php:Replay your GPS Tracks with REGEPE - Forgotten password	Revivez vos traces GPS avec REGEPE - Mot de passe oubli&eacute;
www/forgotpwd.php:Forgot password?	Mot de passe oubli&eacute;
www/forgotpwd.php:User/Email:	Utilisateur/Email:
www/forgotpwd.php:What is the name of the planet you live on? (Anti-Robot):	Quel est le nom de la plan&egrave;te dans laquelle vous vivez&nbsp;? (filtre Anti-Robots)&nbsp;:
www/forgotpwd.php:Send me my password	Envoyez-moi mon mot de passe
www/forgotpwd.php:resendpwd.py	resendpwdfr.py
www/header.html:"Search"	"Rechercher"
www/header.html:Submit a track	Ajouter une trace GPS
www/header.html:Submit track	Ajouter une trace GPS
www/header.html:Map of tracks	Carte des traces
www/header.html:"Login"	"Connexion"
www/header.html:Register	S'enregistrer
www/header.html:Forgot password?	Mot de passe oubli&eacute;?
www/header.html:User:	<small>Utilisateur:</small>
www/header.html:Password:	<br/><small>Mot de passe:</small>
www/header.html:Home	Accueil
www/header.html:Prepare an itinerary	Pr&eacute;parer un itin&eacute;raire
www/header.html:Prepare itinerary	Pr&eacute;parer un itin&eacute;raire
www/header.html:Browse tracks	Carte des traces
www/header.html:Get app	Application smartphone
www/history.php:Date	Date
www/history.php:User	Utilisateur
www/history.php:Description	Description
www/history.php:Replay your GPS Tracks with REGEPE	Revivez vos traces GPS avec REGEPE
www/history.php:History	Historique
www/history.php:Loading...	Chargement...
www/history.php:Preview	Miniature
www/index.php:All updates	Tout l'historique
www/index.php:Last updates	Derni&egrave;res mises &agrave; jour
www/index.php:Replay your GPS Tracks with REGEPE	Revivez vos traces GPS avec REGEPE
www/index.php:Submit a track	Ajouter une trace GPS
www/index.php:Map of tracks	Carte des traces
www/index.php:Take tour	Pr&eacute;sentation
www/index.php:by '.$user.'	par '.$user.'
www/index.php:View	Voir
